"Date","Rt"
2020-02-27,4.08995664322511
2020-02-28,3.74960039640114
2020-02-29,3.52408618423296
2020-03-01,3.36024749084033
2020-03-02,3.23603448824428
2020-03-03,3.14815436373719
2020-03-04,3.06644927414151
2020-03-05,2.99639744071628
2020-03-06,2.92518496710399
2020-03-07,2.85798592174217
2020-03-08,2.78318016236866
2020-03-09,2.70686818989618
2020-03-10,2.62483080384856
2020-03-11,2.53668972288548
2020-03-12,2.45032219136988
2020-03-13,2.36116651532684
2020-03-14,2.26002542824093
2020-03-15,2.15303502401957
2020-03-16,2.04399140111605
2020-03-17,1.93323716147983
2020-03-18,1.82129031767403
2020-03-19,1.70705582203439
2020-03-20,1.59183876532341
2020-03-21,1.47335839102102
2020-03-22,1.35779551043757
2020-03-23,1.24520362779703
2020-03-24,1.1332961138373
2020-03-25,1.02983807670287
2020-03-26,0.930379404548192
2020-03-27,0.830340556650414
2020-03-28,0.739450864928379
2020-03-29,0.651168606954638
2020-03-30,0.571013432335417
2020-03-31,0.494841173026287
2020-04-01,0.423365232359765
2020-04-02,0.355943749739332
2020-04-03,0.298790630660716
2020-04-04,0.250046382906237
2020-04-05,0.206124413384689
2020-04-06,0.168340626237938
2020-04-07,0.134721886021197
2020-04-08,0.105487727794916
2020-04-09,0.0823076135861908
2020-04-10,0.0619157332842011
2020-04-11,0.0448572749772043
2020-04-12,0.0330096498612262
2020-04-13,0.0221665102417518
2020-04-14,0.014660823592677
2020-04-15,0.00987045322397083
2020-04-16,0.01002942023537
2020-04-17,0.00958698702765269
2020-04-18,0.0103885089787803
2020-04-19,0.0128167427244071
2020-04-20,0.0153246333326484
2020-04-21,0.0185994854663991
2020-04-22,0.023461286146746
2020-04-23,0.0294116211309422
2020-04-24,0.0347455198889688
2020-04-25,0.0414112450867263
2020-04-26,0.0491484886782761
2020-04-27,0.0563768930112822
2020-04-28,0.0643696421994506
2020-04-29,0.0723535172131818
2020-04-30,0.0808667978505797
2020-05-01,0.0894493815678119
2020-05-02,0.0987306310815423
2020-05-03,0.110197532127259
2020-05-04,0.122214518626545
2020-05-05,0.135985333049935
2020-05-06,0.151294799054834
2020-05-07,0.167589437517614
2020-05-08,0.18520267513383
2020-05-09,0.204898579654974
2020-05-10,0.228816021914265
2020-05-11,0.253727955022774
2020-05-12,0.282515972288482
2020-05-13,0.313684542096995
2020-05-14,0.346823586990855
2020-05-15,0.385384399646886
2020-05-16,0.427318248728752
2020-05-17,0.47296988196773
2020-05-18,0.522392543764796
2020-05-19,0.574682813417416
2020-05-20,0.631257823237634
2020-05-21,0.693227734051764
2020-05-22,0.757918608825307
2020-05-23,0.826500602125967
2020-05-24,0.897673114694842
2020-05-25,0.968793653709006
2020-05-26,1.04140678376031
2020-05-27,1.11830749143197
2020-05-28,1.19493395224018
2020-05-29,1.2678999736836
2020-05-30,1.3361145267831
2020-05-31,1.4074152510433
2020-06-01,1.47336359012025
2020-06-02,1.53664455270467
2020-06-03,1.59306596016292
2020-06-04,1.64735554992883
2020-06-05,1.69913843473241
2020-06-06,1.75086537607531
2020-06-07,1.79212768037024
2020-06-08,1.83097806038346
2020-06-09,1.86946168492562
2020-06-10,1.89810490728253
2020-06-11,1.9286626913075
2020-06-12,1.94912878053257
2020-06-13,1.95992717746154
2020-06-14,1.97224479404823
2020-06-15,1.98226803688851
2020-06-16,1.98844649912742
2020-06-17,1.98742666857248
2020-06-18,1.98424632858314
2020-06-19,1.98212567512088
2020-06-20,1.97137899396939
2020-06-21,1.96096012748768
2020-06-22,1.94814577172144
2020-06-23,1.92866976811843
2020-06-24,1.91055067788746
2020-06-25,1.88820340307479
2020-06-26,1.86337604836061
2020-06-27,1.83696450301214
2020-06-28,1.81496343643115
2020-06-29,1.78833999451335
2020-06-30,1.76625033680548
2020-07-01,1.7403630617306
2020-07-02,1.71748703610246
2020-07-03,1.6925227723538
2020-07-04,1.66521331045509
2020-07-05,1.63751292667953
2020-07-06,1.612523805204
2020-07-07,1.58389513709096
2020-07-08,1.56044137649173
2020-07-09,1.53616297677348
2020-07-10,1.51091114740597
2020-07-11,1.48820907784836
2020-07-12,1.46925626420256
2020-07-13,1.44768994798756
2020-07-14,1.42696172839653
2020-07-15,1.41021010709633
2020-07-16,1.39220844776729
2020-07-17,1.37756639694298
2020-07-18,1.36344444106522
2020-07-19,1.34765483354255
2020-07-20,1.33466130371308
2020-07-21,1.32134004829031
2020-07-22,1.3106714457139
2020-07-23,1.30189898352893
2020-07-24,1.29305744301788
2020-07-25,1.28358706246134
2020-07-26,1.2768232853734
2020-07-27,1.27079398958494
2020-07-28,1.26773421196638
2020-07-29,1.26410125095129
2020-07-30,1.26055026321466
2020-07-31,1.25901217721928
2020-08-01,1.2580892594741
2020-08-02,1.25538195244128
2020-08-03,1.25374682258341
2020-08-04,1.2544131354118
2020-08-05,1.25395669382462
2020-08-06,1.25668034993979
2020-08-07,1.25989161250325
2020-08-08,1.26312694937436
2020-08-09,1.26664745119559
2020-08-10,1.26885652136302
2020-08-11,1.2740518547224
2020-08-12,1.27755789737994
2020-08-13,1.28213486750058
2020-08-14,1.29078813117026
2020-08-15,1.29900334696451
2020-08-16,1.30487195583805
2020-08-17,1.31212520885174
2020-08-18,1.31988302974823
2020-08-19,1.32652415835519
2020-08-20,1.33435110131267
2020-08-21,1.3429975653141
2020-08-22,1.3519027918024
2020-08-23,1.36076496549861
2020-08-24,1.37080549130865
2020-08-25,1.3823214611701
2020-08-26,1.39214608116148
2020-08-27,1.40399614571098
2020-08-28,1.41469567559274
