"Date","Rt"
2020-03-06,3.7340627550011
2020-03-07,3.39901542457203
2020-03-08,3.17538371112212
2020-03-09,3.00900857623918
2020-03-10,2.89219064966297
2020-03-11,2.80491275813464
2020-03-12,2.72548535339126
2020-03-13,2.65940215845564
2020-03-14,2.59649655833977
2020-03-15,2.54095444077243
2020-03-16,2.48243412339551
2020-03-17,2.42445449809078
2020-03-18,2.35900706976126
2020-03-19,2.29754100350486
2020-03-20,2.23266167423457
2020-03-21,2.16256664030924
2020-03-22,2.08906883413782
2020-03-23,2.01749543051366
2020-03-24,1.94291933358774
2020-03-25,1.86672765606545
2020-03-26,1.78418764118074
2020-03-27,1.70128081675187
2020-03-28,1.61786862657046
2020-03-29,1.53505670020404
2020-03-30,1.4505242668489
2020-03-31,1.36983994754501
2020-04-01,1.28615944037979
2020-04-02,1.21048527847036
2020-04-03,1.1358549721232
2020-04-04,1.06144347482643
2020-04-05,0.989443650858296
2020-04-06,0.919485013371403
2020-04-07,0.85584337205924
2020-04-08,0.79604190648269
2020-04-09,0.736886454238396
2020-04-10,0.68483527908656
2020-04-11,0.635509523365941
2020-04-12,0.588341092053682
2020-04-13,0.545523031448707
2020-04-14,0.507619530528651
2020-04-15,0.472835044695683
2020-04-16,0.440247784647449
2020-04-17,0.412716597154591
2020-04-18,0.387852507579845
2020-04-19,0.366811450755649
2020-04-20,0.346273152309972
2020-04-21,0.330392515993838
2020-04-22,0.317322591458434
2020-04-23,0.306190498269957
2020-04-24,0.297447493834448
2020-04-25,0.29139150086849
2020-04-26,0.287623246074017
2020-04-27,0.285921716779141
2020-04-28,0.284829838560691
2020-04-29,0.286973396726638
2020-04-30,0.291208767577559
2020-05-01,0.296034648291088
2020-05-02,0.303608744607263
2020-05-03,0.311503088113196
2020-05-04,0.320023300762531
2020-05-05,0.330361002410185
2020-05-06,0.345076430454141
2020-05-07,0.36172572549072
2020-05-08,0.379879647440559
2020-05-09,0.400212996842156
2020-05-10,0.422512909135845
2020-05-11,0.44424647777811
2020-05-12,0.468228442327343
2020-05-13,0.497346639808811
2020-05-14,0.526494149005047
2020-05-15,0.556497843427844
2020-05-16,0.588118130462075
2020-05-17,0.622403633997072
2020-05-18,0.657610337294488
2020-05-19,0.694266812512268
2020-05-20,0.73211844058318
2020-05-21,0.773665794423721
2020-05-22,0.816147368782154
2020-05-23,0.860078277132727
2020-05-24,0.904848206105597
2020-05-25,0.951212759070924
2020-05-26,0.996988004697647
2020-05-27,1.04383098614612
2020-05-28,1.09179698043324
2020-05-29,1.13896204474112
2020-05-30,1.18318965143271
2020-05-31,1.22924716344523
2020-06-01,1.27187298123475
2020-06-02,1.31837705234939
2020-06-03,1.35909611872739
2020-06-04,1.40077139986947
2020-06-05,1.43856063644334
2020-06-06,1.47702345212548
2020-06-07,1.51467166019687
2020-06-08,1.54731109946454
2020-06-09,1.57862627773733
2020-06-10,1.60531398376963
2020-06-11,1.62920137638523
2020-06-12,1.64876190051534
2020-06-13,1.6662874983645
2020-06-14,1.68554823000177
2020-06-15,1.69962234173804
2020-06-16,1.71192991166668
2020-06-17,1.72043858179516
2020-06-18,1.72438701068224
2020-06-19,1.72706949125066
2020-06-20,1.72869293576015
2020-06-21,1.72722134380703
2020-06-22,1.72291974635269
2020-06-23,1.71329532155975
2020-06-24,1.70369913648746
2020-06-25,1.69242724869528
2020-06-26,1.68030967674946
2020-06-27,1.6660534714341
2020-06-28,1.64843139871211
2020-06-29,1.63267692796922
2020-06-30,1.61660066306112
2020-07-01,1.59730815992368
2020-07-02,1.57805551291847
2020-07-03,1.55819720779191
2020-07-04,1.53954845140909
2020-07-05,1.5205559821875
2020-07-06,1.50104158288825
2020-07-07,1.48106867519129
2020-07-08,1.46055285942814
2020-07-09,1.44338337455453
2020-07-10,1.42413694759367
2020-07-11,1.40667778737121
2020-07-12,1.38848842926819
2020-07-13,1.37037693896488
2020-07-14,1.35413112880011
2020-07-15,1.34113825042755
2020-07-16,1.32576380964997
2020-07-17,1.31148862848488
2020-07-18,1.2980544355797
2020-07-19,1.28911178634229
2020-07-20,1.27735392971485
2020-07-21,1.26648758369657
2020-07-22,1.25911265686174
2020-07-23,1.25146994415843
2020-07-24,1.24590331619831
2020-07-25,1.24019646669307
2020-07-26,1.23488638118592
2020-07-27,1.23085891200049
2020-07-28,1.22767507142765
2020-07-29,1.22685031811295
2020-07-30,1.22564174758779
2020-07-31,1.22633968284919
2020-08-01,1.22737707379224
2020-08-02,1.23048160869244
2020-08-03,1.23339373369549
2020-08-04,1.23763808105556
2020-08-05,1.24212589507114
2020-08-06,1.24856859971445
2020-08-07,1.25664628042463
2020-08-08,1.26451573953406
2020-08-09,1.2725473905795
2020-08-10,1.2816065340737
2020-08-11,1.29244972266488
2020-08-12,1.30349989230223
2020-08-13,1.31448496983539
2020-08-14,1.32478086654997
2020-08-15,1.33769261244302
2020-08-16,1.35013808325725
2020-08-17,1.36289169495497
2020-08-18,1.37773749188556
2020-08-19,1.39181100174293
2020-08-20,1.40657513249365
2020-08-21,1.42198691579933
2020-08-22,1.43744178434403
2020-08-23,1.45326670366069
2020-08-24,1.47070068335261
2020-08-25,1.48858227377271
2020-08-26,1.50637896234376
2020-08-27,1.52283917400182
2020-08-28,1.54127484681783
2020-08-29,1.55912913642103
2020-08-30,1.57360986176275
2020-08-31,1.59089042487191
2020-09-01,1.60833775623105
2020-09-02,1.62690013810787
2020-09-03,1.64377575247565
2020-09-04,1.65975844963633
2020-09-05,1.67570314593417
2020-09-06,1.69177510815007
2020-09-07,1.70735855015282
