"Date","Rt"
2020-02-01,6.238445021695
2020-02-02,5.69125928869867
2020-02-03,5.37037691293932
2020-02-04,5.16391053457622
2020-02-05,5.05468647809471
2020-02-06,4.9674463551771
2020-02-07,4.8974035756738
2020-02-08,4.84647125189451
2020-02-09,4.80278572857599
2020-02-10,4.76281847003593
2020-02-11,4.72075680457159
2020-02-12,4.68478941595568
2020-02-13,4.65101985977956
2020-02-14,4.61123334280398
2020-02-15,4.56824243745597
2020-02-16,4.52863671580949
2020-02-17,4.48724952959456
2020-02-18,4.43449709725657
2020-02-19,4.38101003212318
2020-02-20,4.32181950057991
2020-02-21,4.26741424644575
2020-02-22,4.20738126172099
2020-02-23,4.14899826778908
2020-02-24,4.08043178581386
2020-02-25,4.00586705847434
2020-02-26,3.93178885416849
2020-02-27,3.85596251326483
2020-02-28,3.78202900312438
2020-02-29,3.70105695560121
2020-03-01,3.61539396830565
2020-03-02,3.5342049698137
2020-03-03,3.456354044707
2020-03-04,3.36943198805271
2020-03-05,3.28773044740888
2020-03-06,3.20197406050466
2020-03-07,3.11453887235653
2020-03-08,3.03550380511998
2020-03-09,2.94918407153625
2020-03-10,2.86382268269548
2020-03-11,2.78161465628382
2020-03-12,2.70306855176042
2020-03-13,2.62250702633823
2020-03-14,2.53815571373869
2020-03-15,2.46044098451158
2020-03-16,2.39138691981336
2020-03-17,2.31982504495903
2020-03-18,2.24838149731549
2020-03-19,2.17616904868839
2020-03-20,2.111225433559
2020-03-21,2.04677959279639
2020-03-22,1.98166746962624
2020-03-23,1.91817505975636
2020-03-24,1.85256205338447
2020-03-25,1.79552685178894
2020-03-26,1.74162580366837
2020-03-27,1.68669938310921
2020-03-28,1.63758149083915
2020-03-29,1.5939418345943
2020-03-30,1.55225162901809
2020-03-31,1.51254726784176
2020-04-01,1.47319292597621
2020-04-02,1.436731406053
2020-04-03,1.40102307395522
2020-04-04,1.36850231245094
2020-04-05,1.34026162464783
2020-04-06,1.31196936135144
2020-04-07,1.28695514616635
2020-04-08,1.26200449951848
2020-04-09,1.23637716195012
2020-04-10,1.21290166688558
2020-04-11,1.19375876962988
2020-04-12,1.17972634481062
2020-04-13,1.16429102864214
2020-04-14,1.14950015984098
2020-04-15,1.1349745189446
2020-04-16,1.12254755590829
2020-04-17,1.11225067885806
2020-04-18,1.10289710231778
2020-04-19,1.09527053333111
2020-04-20,1.08739410411002
2020-04-21,1.08078987100613
2020-04-22,1.07360193514662
2020-04-23,1.06873092249703
2020-04-24,1.06624301661209
2020-04-25,1.0621015183871
2020-04-26,1.06018934274931
2020-04-27,1.05863921425197
2020-04-28,1.05810879471497
2020-04-29,1.05879262287037
2020-04-30,1.06080399938424
2020-05-01,1.06399269220241
2020-05-02,1.06636602846568
2020-05-03,1.06710637859491
2020-05-04,1.06813025349742
2020-05-05,1.07318757180944
2020-05-06,1.07525714105103
2020-05-07,1.07829629304364
2020-05-08,1.08138902865731
2020-05-09,1.08528954952757
2020-05-10,1.08818996695157
2020-05-11,1.09176572857948
2020-05-12,1.09423032533741
2020-05-13,1.0957120292639
2020-05-14,1.09784058117269
2020-05-15,1.09911672263076
2020-05-16,1.09962976421382
2020-05-17,1.10158930583895
2020-05-18,1.1010957930615
2020-05-19,1.09986670835753
2020-05-20,1.09795441824674
2020-05-21,1.09863440738977
2020-05-22,1.09650953102213
2020-05-23,1.09488142669214
2020-05-24,1.09288431373311
2020-05-25,1.09082037032365
2020-05-26,1.08862341733305
2020-05-27,1.08476354258904
2020-05-28,1.08143614447721
2020-05-29,1.07718086128322
2020-05-30,1.07080023676206
2020-05-31,1.06577696041526
2020-06-01,1.05969462329681
2020-06-02,1.05464275556205
2020-06-03,1.04730592817572
2020-06-04,1.04056414630875
2020-06-05,1.03367033636197
2020-06-06,1.02602985901849
2020-06-07,1.01897802549663
2020-06-08,1.01109846291304
2020-06-09,1.00297320831756
2020-06-10,0.994360565840856
2020-06-11,0.984713238971975
2020-06-12,0.975319663981458
2020-06-13,0.963319498280218
2020-06-14,0.952852528507822
2020-06-15,0.943943294366695
2020-06-16,0.931559902265632
2020-06-17,0.919834221052366
2020-06-18,0.908502832280233
2020-06-19,0.89771857810621
2020-06-20,0.888467173859316
2020-06-21,0.878524753064786
2020-06-22,0.869798230553976
2020-06-23,0.860965186311421
2020-06-24,0.850978044330179
2020-06-25,0.842782523120178
2020-06-26,0.832434972639023
2020-06-27,0.825508235829367
2020-06-28,0.817911226779383
2020-06-29,0.810586500364493
2020-06-30,0.804368633335278
2020-07-01,0.79944783633359
2020-07-02,0.790681292221669
2020-07-03,0.787432040923171
2020-07-04,0.782395169229374
2020-07-05,0.776819090178417
2020-07-06,0.774556620328448
2020-07-07,0.773025624951956
2020-07-08,0.770355044445796
2020-07-09,0.76805177519919
2020-07-10,0.765725295705736
2020-07-11,0.766566660039735
2020-07-12,0.766741690102193
2020-07-13,0.767437225260789
2020-07-14,0.766628713999877
2020-07-15,0.767946768671401
2020-07-16,0.767836740539504
2020-07-17,0.771199530195506
2020-07-18,0.771374736047692
2020-07-19,0.776293350578871
2020-07-20,0.779387083632167
2020-07-21,0.782613376643658
2020-07-22,0.78607828134458
2020-07-23,0.79099234509377
2020-07-24,0.796867558586891
2020-07-25,0.799706064987183
2020-07-26,0.802893627337768
2020-07-27,0.809966314526692
2020-07-28,0.8179331210096
2020-07-29,0.825106160550098
2020-07-30,0.831268723817405
2020-07-31,0.839085144339995
2020-08-01,0.849316915891287
2020-08-02,0.858233814355654
2020-08-03,0.86955291507429
2020-08-04,0.879582698076437
